73	h5nc	48													
Type	Tex_X	Tex_Y	Tex_W	Tex_H	nRoll	nColor	CollisionType	Collision_Main	Collision_Sub	FadeColor	BonusColor	nTurnAngle	seID	RenderType	RenderDepth
0	0	0	16	16	0	16	2	16	5	160	0	0	90	4	20
1	0	16	16	16	0	16	1	2	2.5	160	0	0	90	2	14
2	0	32	16	16	0	16	1	5	0	160	0	0	90	2	13
3	0	48	16	16	0	16	1	5	0	160	0	0	90	2	11
4	0	64	16	16	0	16	2	5	3	160	0	0	90	2	17
5	0	80	16	16	0	16	2	5	3	160	0	0	90	2	18
6	0	96	16	16	0	16	2	5	3	160	0	0	90	2	18
7	0	112	16	16	0	16	1	5	0	160	0	0	90	2	15
8	0	128	16	16	0	16	1	5	3	160	0	0	90	2	17
9	0	144	16	16	0	16	2	5	3	160	0	0	90	2	17
10	0	160	16	16	0	16	1	3	0	160	0	320	90	2	16
11	0	176	16	16	0	16	1	5	0	160	0	240	90	2	11
12	0	192	8	8	0	16	1	2	0	160	0	240	90	2	19
13	0	200	8	8	0	16	1	3	0	160	0	240	90	2	19
14	208	192	16	16	0	3	1	4	0	255	0	0	90	2	12
15	256	0	64	64	0	4	1	15	0	255	0	0	90	4	1
16	256	64	32	32	0	8	1	7	0	160	0	240	90	2	3
17	256	96	32	32	0	8	1	7	0	160	0	0	90	2	2
18	256	128	32	32	0	8	2	6	5	160	0	0	90	2	7
19	256	160	32	32	0	8	1	5	0	160	0	0	90	2	10
20	256	192	32	32	0	8	2	6	5	160	0	0	90	2	6
21	256	224	32	32	0	3	1	7	0	255	0	240	90	2	4
22	352	224	32	32	0	1	2	7	5	255	0	0	90	2	8
23	384	224	32	32	0	4	1	7	0	255	0	240	90	2	4
24	256	256	32	32	0	8	2	7	5	160	0	0	90	2	5
40	256	288	32	32	4	4	1	5	0	1	0	0	90	0	9
41	256	320	32	32	4	4	1	5	0	3	0	0	90	0	9
42	384	288	32	32	4	4	1	5	0	1	0	0	90	0	9
43	384	320	32	32	4	4	1	5	0	3	0	0	90	0	9
60	0	0	0	0	0	16	0	0	0	0	0	0	90	2	0
61	1	209	32	31	0	8	0	0	0	255	0	0	90	0	0
62	1	241	32	31	0	8	0	0	0	255	0	0	90	0	0
63	0	274	40	12	0	6	0	0	0	255	0	0	90	2	0
