73	h5nc	4C			
ID	tex	x	y	w	h
0	10	0	176	64	16
1	10	16	144	16	16
2	10	32	144	16	16
3	10	48	144	16	16
4	10	0	160	16	16
5	10	16	160	16	16
6	10	32	160	16	16
7	10	48	160	16	16
8	11	0	144	32	16
9	11	32	144	32	16
10	11	64	144	32	16
11	11	96	144	32	16
12	11	16	160	16	16
13	11	16	160	16	16
14	11	16	160	16	16
15	11	16	160	16	16
16	12	0	160	32	16
17	12	16	160	32	16
18	12	32	160	32	16
19	12	64	160	32	16
20	12	0	144	32	16
21	12	16	144	32	16
22	12	32	144	32	16
23	12	48	144	32	16
24	13	0	144	16	16
25	13	16	144	16	16
26	13	32	144	16	16
27	13	48	144	16	16
28	13	0	144	16	16
29	13	16	144	16	16
30	13	32	144	16	16
31	13	48	144	16	16
32	14	0	144	32	16
33	14	32	144	32	16
34	14	64	144	32	16
35	14	96	144	32	16
36	14	192	144	16	16
37	14	208	144	16	16
38	14	224	144	16	16
39	14	240	144	16	16
40	15	128	0	32	32
41	15	128	0	32	32
42	15	128	0	32	32
43	15	128	0	32	32
44	15	160	0	32	32
45	15	160	0	32	32
46	15	196	0	32	32
47	15	196	0	32	32
48	16	0	144	32	16
49	16	32	144	32	16
50	16	64	144	32	16
51	16	96	144	32	16
52	16	0	160	16	16
53	16	0	160	16	16
54	16	0	160	16	16
55	16	0	160	16	16
56	17	0	192	64	32
57	17	64	192	64	32
58	17	128	192	64	32
59	17	192	192	64	32
60	17	0	160	64	16
61	17	64	160	64	16
62	17	128	160	64	16
63	17	192	160	64	16
64	18	0	144	32	16
65	18	32	144	32	16
66	18	64	144	32	16
67	18	96	144	32	16
68	18	0	144	32	16
69	18	32	144	32	16
70	18	64	144	32	16
71	18	96	144	32	16
72	19	0	160	48	32
73	19	48	160	48	32
74	19	96	160	48	32
75	19	144	160	48	32
76	19	0	144	16	16
77	19	16	144	16	16
78	19	32	144	16	16
79	19	48	144	16	16
80	20	0	144	32	16
81	20	32	144	32	16
82	20	64	144	32	16
83	20	96	144	32	16
84	20	0	144	32	16
85	20	32	144	32	16
86	20	64	144	32	16
87	20	96	144	32	16
88	21	0	144	32	16
89	21	32	144	32	16
90	21	64	144	32	16
91	21	96	144	32	16
92	21	0	144	32	16
93	21	32	144	32	16
94	21	64	144	32	16
95	21	96	144	32	16
96	22	0	144	16	16
97	22	16	144	16	16
98	22	32	144	16	16
99	22	48	144	16	16
100	22	0	192	48	48
101	22	0	192	48	48
102	22	0	192	48	48
103	22	0	192	48	48
104	23	0	160	32	32
105	23	16	144	16	16
106	23	32	144	16	16
107	23	48	144	16	16
108	23	0	144	16	16
109	23	16	144	16	16
110	23	32	144	16	16
111	23	48	144	16	16
112	44	0	208	32	16
113	44	0	0	88	88
114	44	96	0	88	88
115	44	0	96	88	88
116	44	0	208	32	16
117	44	0	0	88	88
118	44	96	0	88	88
119	44	0	96	88	88
120	25	0	224	256	32
121	25	0	224	256	32
122	25	0	224	256	32
123	25	0	224	256	32
124	25	0	176	64	16
125	25	0	192	64	16
126	25	0	192	64	16
127	25	0	192	64	16
128	26	0	144	32	16
129	26	32	144	32	16
130	26	64	144	32	16
131	26	96	144	32	16
132	26	16	160	16	16
133	26	16	160	16	16
134	26	0	160	16	16
135	26	0	160	16	16
136	27	0	144	32	16
137	27	32	144	32	16
138	27	64	144	32	16
139	27	96	144	32	16
140	27	0	160	16	16
141	27	0	160	16	16
142	27	0	160	16	16
143	27	0	160	16	16
144	28	64	240	48	16
145	28	64	240	48	16
146	28	64	240	48	16
147	28	64	240	48	16
148	28	64	240	48	16
149	28	64	240	48	16
150	28	64	240	48	16
151	28	64	240	48	16
152	29	0	176	64	16
153	29	16	160	16	16
154	29	32	160	16	16
155	29	48	160	16	16
156	29	0	144	16	16
157	29	16	144	16	16
158	29	32	144	16	16
159	29	48	144	16	16
160	30	0	144	32	16
161	30	32	144	32	16
162	30	64	144	32	16
163	30	96	144	32	16
164	30	0	176	256	16
165	30	0	176	256	16
166	30	0	176	256	16
167	30	0	176	256	16
168	31	0	160	64	16
169	31	0	160	64	16
170	31	0	160	64	16
171	31	0	160	64	16
172	31	0	208	64	16
173	31	0	208	64	16
174	31	0	208	64	16
175	31	0	208	64	16
192	25	160	144	32	32
193	25	64	144	64	64
194	25	64	144	64	64
195	25	64	144	64	64
196	25	0	0	32	48
197	25	64	144	64	64
198	25	64	144	64	64
199	25	64	144	64	64
