73	h5nc	4E							
Index	siID	XAdj	YAdj	Speed	Flag	ShootAngle	MoveR	StartAngle	Blend
0	600	-10	-15	1	10	0	0	0	0
1	600	10	-15	1	30	0	0	0	0
2	600	-30	-10	1	10	0	0	0	0
3	600	30	-10	1	30	0	0	0	0
4	601	10	15	1	10	0	0	0	0
5	601	-10	15	1	30	0	0	0	0
6	601	30	10	1	10	0	0	0	0
7	601	-30	10	1	30	0	0	0	0
8	602	-8	-25	1	14	0	0	0	0
9	602	8	-25	1	34	0	0	0	0
10	602	-25	-15	1	14	0	0	0	0
11	602	25	-15	1	34	0	0	0	0
12	603	5	15	1	14	0	0	0	0
13	603	-5	15	1	34	0	0	0	0
14	603	8	25	1	14	0	0	0	0
15	603	-8	25	1	34	0	0	0	0
16	604	-20	10	1	16	0	0	0	0
17	604	20	10	1	36	0	0	0	0
18	604	-30	0	1	16	0	0	0	0
19	604	30	0	1	36	0	0	0	0
20	604	20	10	1	16	0	0	0	2
21	604	-20	10	1	36	0	0	0	2
22	604	30	0	1	16	0	0	0	2
23	604	-30	0	1	36	0	0	0	2
24	605	0	0	1	19C	0	0	0	2
25	605	0	0	1	1BC	0	0	0	2
26	605	0	0	1	19C	0	0	0	2
27	605	0	0	1	1BC	0	0	0	2
28	605	0	0	1	11C	0	0	0	0
29	605	0	0	1	13C	0	0	0	0
30	605	0	0	1	11C	0	0	0	0
31	605	0	0	1	13C	0	0	0	0
32	606	-18	-32	1	12	0	0	0	0
33	606	18	-32	1	32	0	0	0	0
34	606	-32	8	1	12	9000	0	0	0
35	606	32	8	1	32	-9000	0	0	0
36	606	32	-32	1	12	0	0	0	0
37	606	-32	-32	1	32	0	0	0	0
38	606	18	8	1	12	-9000	0	0	0
39	606	-18	8	1	32	9000	0	0	0
40	607	-30	-5	1	11	0	0	0	0
41	607	30	-5	1	11	0	0	0	0
42	607	-10	-20	1	11	0	0	0	0
43	607	10	-20	1	11	0	0	0	0
44	607	10	15	1	11	0	0	0	0
45	607	-10	15	1	11	0	0	0	0
46	607	15	5	1	11	0	0	0	0
47	607	-15	5	1	11	0	0	0	0
48	608	10	0	4	40	48	35	0	0
49	608	-10	0	4	40	48	35	9000	0
50	608	0	10	4	40	48	35	18000	0
51	608	0	-10	4	40	48	35	27000	0
52	608	0	-10	4	60	48	25	0	0
53	608	0	10	4	60	48	25	9000	0
54	608	-10	0	4	60	48	25	18000	0
55	608	10	0	4	60	48	25	27000	0
56	609	0	0	4	0	0	35	0	0
57	609	0	0	4	20	0	35	9000	0
