73	h5nc	41	
Comment	CustomConst	Name	Value
-	0	jump	0
-	1	StageTitle	1
-	2	TitleFade	2
-	3	SceneLightDark	3
-	4	SceneColorLoop	4
-	5	SceneOff	5
-	6	MusicChangeWithDisplay	6
-	7	GetChatMode	7
-	8	BuildPhenix	8
-	10	Chat_T11	10
-	11	Chat_T12	11
-	12	Chat_T13	12
-	13	Chat_T14	13
-	14	Chat_T15	14
-	15	Chat_T16	15
-	16	Chat_T17	16
-	17	Chat_T18	17
-	18	Chat_T19	18
-	19	Chat_T1A	19
-	20	Chat_T21	20
-	21	Chat_T22	21
-	22	Chat_T23	22
-	23	Chat_T24	23
-	24	Chat_T25	24
-	25	Chat_T26	25
-	26	Chat_T31	26
-	27	Chat_T32	27
-	28	Chat_T33	28
-	29	Chat_T34	29
-	30	Chat_T41	30
-	31	Chat_T42	31
-	32	Chat_T43	32
-	33	Chat_T44	33
-	34	Chat_T45	34
-	35	Chat_T46	35
-	36	Chat_T47	36
-	37	Chat_T51	37
-	38	Chat_T52	38
-	39	Chat_T53	39
-	40	Chat_T54	40
-	41	Chat_T55	41
-	42	Chat_T56	42
-	43	Chat_T61	43
-	44	Chat_T62	44
-	45	Chat_T70	45
-	46	Chat_T80	46
-	47	Chat_T90	47
-	48	Chat_TA0	48
-	49	Chat_TB0	49
-	50	Chat_TC0	50
-	52	TitleFade_Left	0
-	53	TitleFade_Right	1
-	55	LayerNormal	0
-	56	LayerBomb	1
-	57	BGLayerSplit	6
-	58	FGLayerSplit	2
-	60	FLAG_PlayerUseable_01	0
-	61	FLAG_PlayerUseable_02	1
-	62	FLAG_PlayerUseable_03	2
-	63	FLAG_PlayerUseable_04	3
-	64	FLAG_PlayerUseable_05	4
-	65	FLAG_PlayerUseable_06	5
-	66	FLAG_PlayerUseable_07	6
-	67	FLAG_PlayerUseable_08	7
-	68	FLAG_PlayerUseable_09	8
-	69	FLAG_PlayerUseable_10	9
-	70	FLAG_PlayerUseable_11	10
-	71	FLAG_PlayerUseable_12	11
-	72	FLAG_PlayerUseable_13	12
-	73	FLAG_PlayerUseable_14	13
-	74	FLAG_PlayerUseable_15	14
-	75	FLAG_PlayerUseable_16	15
-	76	FLAG_PlayerUseable_17	16
-	77	FLAG_PlayerUseable_18	17
-	78	FLAG_PlayerUseable_19	18
-	79	FLAG_PlayerUseable_20	19
-	80	FLAG_PlayerUseable_21	20
-	81	FLAG_PlayerUseable_22	21
-	82	FLAG_PlayerUseable_23	22
-	83	FLAG_StageTried_01	23
-	84	FLAG_StageTried_02	24
-	85	FLAG_StageTried_03	25
-	86	FLAG_StageTried_04	26
-	87	FLAG_StageTried_05	27
-	88	FLAG_StageTried_06	28
-	89	FLAG_StageTried_07	29
-	90	FLAG_StageTried_08	30
-	91	FLAG_StageTried_09	31
-	92	FLAG_StageTried_10	32
-	93	FLAG_StageTried_11	33
-	94	FLAG_StageTried_12	34
