73	h5nc	44								
Comment	Music	MusicName	MusicFileName	StartPos	IntroLength	AllLength	Explain_1	Explain_2	Explain_3	Explain_4
-	0	おてんば恋娘	Music/thbgm.wav	0	1021548	15796112	th_06_05	_	_	_
-	1	稲田姫樣に叱られるから	Music/thbgm.wav	15796112	243200	7868416	th_10_03	_	_	_
-	2	幽霊楽団～Phantom Ensemble	Music/thbgm.wav	23664528	746240	24899328	th_09_08	_	_	_
-	3	蠢々秋月～Mooned Insect	Music/thbgm.wav	48563856	2785280	13762560	th_08_03	_	_	_
-	4	もう歌しか聞こえない	Music/thbgm.wav	62326416	4511360	16978176	th_08_05	_	_	_
-	5	プレインエイジア	Music/thbgm.wav	79304592	4761088	20195840	th_08_07	_	_	_
-	6	運命のダークサイド	Music/thbgm.wav	99500432	510464	18654720	th_10_05	_	_	_
-	7	お宇佐さまの素い幡	Music/thbgm.wav	118155152	995328	19341856	th_09_13	_	_	_
-	8	芥川龍之介の河童～Candid Friend	Music/thbgm.wav	137497008	1746944	25789696	th_10_07	_	_	_
-	9	今昔幻想郷～Flower Land	Music/thbgm.wav	163286704	1898240	28223488	th_09_16	_	_	_
-	10	ポイズンボディ～Forsaken Doll	Music/thbgm.wav	191510192	1090816	20756992	th_09_15	_	_	_
-	11	狂気の瞳～Invisible Full Moon	Music/thbgm.wav	212267184	534144	21200384	th_08_12	_	_	_
-	12	風神少女	Music/thbgm.wav	233467568	2817280	31529472	th_095_06	_	_	_
-	13	エクステンドアッシュ～蓬莱人	Music/thbgm.wav	264997040	881280	28015744	th_08_19	_	_	_
-	14	神さびた古戦場～Suwa Foughten Field	Music/thbgm.wav	293012784	5085952	28725248	th_10_13	_	_	_
-	15	人形裁判～人の形弄びし少女	Music/thbgm.wav	321738032	5019648	31686656	th_07_07	_	_	_
-	16	ネイティブフェイス	Music/thbgm.wav	353424688	881184	30438976	th_10_15	_	_	_
-	17	六十年目の東方裁判～Fate of Sixty Years	Music/thbgm.wav	383863664	1076224	44897280	th_09_14	_	_	_
-	18	東方妖々夢～Ancient Temple	Music/thbgm.wav	428760944	1186816	19758080	th_07_11	_	_	_
-	19	彼岸帰航～Riverside View	Music/thbgm.wav	448519024	2525440	30044928	th_09_11	_	_	_
-	20	千年幻想郷～History of the Moon	Music/thbgm.wav	478563952	1235712	31425536	th_08_14	_	_	_
-	21	少女幻葬～Necro Fantasy	Music/thbgm.wav	509989488	257792	37693568	th_07_18	_	_	_
-	22	亡き王女の為のセプテット	Music/thbgm.wav	547683056	5856672	24841132	th_06_13	_	_	_
-	23	幽雅に咲かせ、墨染の桜～Border of Life	Music/thbgm.wav	572524188	3055104	25412608	th_07_13	_	_	_
-	24	フラワリングナイト	Music/thbgm.wav	597936796	833088	22967616	th_09_05	_	_	_
-	25	春色小径～Colorful Path	Music/thbgm.wav	620904412	1509888	28176384	th_09_04	_	_	_
-	26	オリエンタルダークフライト	Music/thbgm.wav	649080796	1924096	23763968	th_09_02	_	_	_
-	27	信仰は儚き人間の為に	Music/thbgm.wav	672844764	2565120	31431936	th_10_11	_	_	_
-	28	月まで届け、不死の煙	Music/thbgm.wav	704276700	1334816	31184784	th_08_20	_	_	_
-	29	竹取飛翔～Lunatic Princess	Music/thbgm.wav	735461484	6678272	31748096	th_08_16	_	_	_
-	30	ネクロファンタジア	Music/thbgm.wav	767209580	349440	29523968	th_07_20	_	_	_
-	31	恋色マスタースパーク	Music/thbgm.wav	825667692	1813504	22355968	th_08_10	_	_	_
-	32	少女綺想曲～Dream Battle	Music/thbgm.wav	796733548	2337536	28934144	th_08_09	_	_	_
-	33	死体旅行～Be of good cheer!	Music/thbgm.wav	848023660	542208	17896704	th_11_11	_	_	_
-	34	緋想天	Music/thbgm.wav	865920364	5013096	23472352	th_105_01	_	_	_
-	35	暮色蒼然	Music/thbgm.wav	889392716	1724968	14425772	th_105_17	_	_	_
-	36	東方緋想天	Music/thbgm.wav	903818488	0	14898816	th_105_18	_	_	_
