73	h5nc	4C			
ID	tex	x	y	w	h
0	10	0	176	64	16
1	10	16	144	16	16
2	10	32	144	16	16
3	10	48	144	16	16
4	10	0	160	16	16
5	10	16	160	16	16
6	10	32	160	16	16
7	10	48	160	16	16
8	11	0	144	32	16
9	11	32	144	32	16
10	11	64	144	32	16
11	11	96	144	32	16
12	11	16	160	16	16
13	11	16	160	16	16
14	11	16	160	16	16
15	11	16	160	16	16
16	12	0	160	32	16
17	12	16	160	32	16
18	12	32	160	32	16
19	12	64	160	32	16
20	12	0	144	32	16
21	12	16	144	32	16
22	12	32	144	32	16
23	12	48	144	32	16
144	28	64	240	48	16
145	28	64	240	48	16
146	28	64	240	48	16
147	28	64	240	48	16
148	28	64	240	48	16
149	28	64	240	48	16
150	28	64	240	48	16
151	28	64	240	48	16
152	29	0	176	64	16
153	29	16	160	16	16
154	29	32	160	16	16
155	29	48	160	16	16
156	29	0	144	16	16
157	29	16	144	16	16
158	29	32	144	16	16
159	29	48	144	16	16
160	30	0	144	32	16
161	30	32	144	32	16
162	30	64	144	32	16
163	30	96	144	32	16
164	30	0	176	256	16
165	30	0	176	256	16
166	30	0	176	256	16
167	30	0	176	256	16
168	31	0	160	64	16
169	31	0	160	64	16
170	31	0	160	64	16
171	31	0	160	64	16
172	31	0	208	64	16
173	31	0	208	64	16
174	31	0	208	64	16
175	31	0	208	64	16
192	25	160	144	32	32
193	25	64	144	64	64
194	25	64	144	64	64
195	25	64	144	64	64
196	25	0	0	32	48
197	25	64	144	64	64
198	25	64	144	64	64
199	25	64	144	64	64
