73	h5nc	4A																
Comment	Type	Collision_r	FastSpeed	SlowSpeed	Graze_r	BombPerPower	ShotDelay	BorderLast	BombLast	SIID	EID	FaceIndex	StandFrame	LeftPreFrame	LeftFrame	RightPreFrame	RightFrame	Name
-	0	0.5	3.5	1.7	40	85000	12	350	240	SI_Player_00_0	34	0	8	4	4	4	4	博麗·霊夢
-	1	1	4.5	1.9	40	90000	8	300	180	SI_Player_01_0	33	1	8	4	4	4	4	霧雨·魔理沙
-	2	1	3.9	1.8	42	78000	8	240	220	SI_Player_02_0	26	2	8	4	4	4	4	十六夜·咲夜
-	3	1	4.8	2.1	40	120000	8	400	120	SI_Player_03_0	20	3	8	4	4	4	4	魂魄·妖夢
-	4	1	4.6	2	40	90000	8	280	120	SI_Player_04_0	14	4	8	4	4	4	4	射命丸·文
-	5	1	3.3	1.5	35	80000	8	360	60	SI_Player_05_0	25	5	4	2	2	0	0	西行寺·幽々子
-	6	1	3.7	1.6	40	100000	8	350	120	SI_Player_06_0	12	6	8	4	4	4	4	メディスン·メランコリー
-	7	1	4	1.8	40	90000	8	320	240	SI_Player_07_0	0	7	8	4	4	4	4	チルノ
-	8	1	4.1	1.8	40	85000	8	400	200	SI_Player_08_0	2	8	8	4	4	4	4	リリカ·プリズムリバー
-	9	1	4.2	1.9	40	90000	8	320	120	SI_Player_09_0	4	9	8	4	4	4	4	ミスティア·ローレライ
-	10	1	4.1	1.8	40	85000	8	400	200	SI_Player_10_0	5	10	8	4	4	4	4	メルラン·プリズムリバー
-	11	1	4.1	1.8	40	85000	8	400	200	SI_Player_11_0	7	11	8	4	4	4	4	ルナサ·プリズムリバー
-	12	1	3.2	1.7	40	100000	8	360	240	SI_Player_12_0	9	12	8	4	4	4	4	因幡·てゐ
-	13	1	3.3	1.6	40	90000	8	360	290	SI_Player_13_0	11	13	8	4	4	4	4	風見·幽香
-	14	1	3.7	1.8	40	120000	8	360	240	SI_Player_14_0	13	14	8	4	4	4	4	鈴仙·優曇華院·イナバ
-	15	1	3.6	1.9	40	95000	8	280	210	SI_Player_15_0	17	15	4	3	4	0	0	アリス·マーガトロイド
-	16	1	3.7	2	40	120000	8	400	200	SI_Player_16_0	19	16	8	4	4	4	4	四季映姫·ヤマザナドゥ
-	17	1	3.6	1.6	40	120000	8	400	240	SI_Player_17_0	21	17	8	4	4	4	4	小野塚·小町
-	18	1	4.3	2.1	45	100000	8	280	250	SI_Player_18_0	24	18	4	1	5	0	0	レミリア·スカーレット
-	19	0.5	3.5	1.7	40	80000	12	360	240	SI_Player_19_0	26	19	8	4	4	4	4	博麗·霊夢
-	20	1	4.5	1.9	40	90000	8	80	180	SI_Player_20_0	27	20	8	4	4	4	4	霧雨·魔理沙
-	21	1	3.5	1.7	28	75000	4	360	30	SI_Player_21_0	32	21	4	3	4	0	0	八雲·紫
