73	h5nc	4D													
Comment	Index	UserID	SIID	TimeMod	Flag	Power	HitOnFactor	Arrange	Angle	Speed	Scale	Xbias	Ybias	AccelSpeed	SE
-	1	0	SI_PlayerBullet_00_0_0	8	1700	0.25	0	0	0	18	1	10	0	0	60
-	2	0	SI_PlayerBullet_00_0_0	8	1700	0.25	0	0	0	18	1	-10	0	0	60
-	3	0	SI_PlayerBullet_00_1_0	8	1712	0.25	0	1	0	18	1.5	0	0	0	60
-	4	0	SI_PlayerBullet_00_1_0	8	1712	0.25	0	2	0	18	1.5	0	0	0	60
-	5	0	SI_PlayerBullet_00_1_0	8	1712	0.25	0	3	0	18	1.5	0	0	0	60
-	6	0	SI_PlayerBullet_00_1_0	8	1712	0.25	0	4	0	18	1.5	0	0	0	60
-	7	1	SI_PlayerBullet_01_0_0	8	1700	0.5	0	0	0	-10	1.5	10	0	1.5	60
-	8	1	SI_PlayerBullet_01_0_0	8	1700	0.5	0	0	0	-10	1.5	-10	0	1.5	60
-	9	1	SI_PlayerBullet_01_1_0	8	1718	0.5	0	1	600	18	1	0	0	0	60
-	10	1	SI_PlayerBullet_01_1_0	8	1718	0.5	0	2	600	18	1	0	0	0	60
-	11	1	SI_PlayerBullet_01_1_0	8	1718	0.5	0	3	600	18	1	0	0	0	60
-	12	1	SI_PlayerBullet_01_1_0	8	1718	0.5	0	4	600	18	1	0	0	0	60
-	13	2	SI_PlayerBullet_02_0_0	6	700	0.4	0	0	0	18	1.8	10	0	0	60
-	14	2	SI_PlayerBullet_02_0_0	6	700	0.4	0	0	0	18	1.8	-10	0	0	60
-	15	2	SI_PlayerBullet_02_1_0	8	700	0.3	0	1	-3000	18	1.8	0	0	0	60
-	16	2	SI_PlayerBullet_02_1_0	8	700	0.3	0	2	3000	18	1.8	0	0	0	60
-	17	2	SI_PlayerBullet_02_1_0	8	700	0.3	0	1	-2000	18	1.8	0	0	0	60
-	18	2	SI_PlayerBullet_02_1_0	8	700	0.3	0	2	2000	18	1.8	0	0	0	60
-	19	2	SI_PlayerBullet_02_1_0	8	700	0.3	0	3	-1000	18	1.8	0	0	0	60
-	20	2	SI_PlayerBullet_02_1_0	8	700	0.3	0	4	1000	18	1.8	0	0	0	60
-	21	3	SI_PlayerBullet_03_0_0	8	1608	0.5	0	0	600	18	1.5	0	0	0	60
-	22	3	SI_PlayerBullet_03_0_0	8	1608	0.5	0	0	600	18	1.5	0	0	0	60
-	23	3	SI_PlayerBullet_03_1_0	8	1688	0.5	0	1	300	18	1.5	0	0	0	60
-	24	3	SI_PlayerBullet_03_1_0	8	1688	0.5	0	2	300	18	1.5	0	0	0	60
-	25	3	SI_PlayerBullet_03_1_0	8	1688	0.5	0	3	300	18	1.5	0	0	0	60
