73	h5nc	4B					
Comment	Index	SI_Name	Tex	Tex_x	Tex_y	Tex_w	Tex_h
-	0	SI_Null	1	0	0	1	1
-	1	SI_Title_Start	0	0	0	128	32
-	2	SI_Title_Extra	0	128	0	128	32
-	3	SI_Title_Spell	0	256	0	128	32
-	4	SI_Title_Replay	0	384	0	128	32
-	5	SI_Title_Result	0	512	0	128	32
-	6	SI_Title_Music	0	640	0	128	32
-	7	SI_Title_Option	0	768	0	128	32
-	8	SI_Title_Quit	0	896	0	128	32
-	9	SI_TopContent_BattleSelect	0	0	96	256	32
-	10	SI_TopContent_PlayerSelect	0	256	96	256	32
-	11	SI_TopContent_Spell	0	512	96	128	32
-	12	SI_TopContent_Replay	0	640	96	128	32
-	13	SI_TopContent_Result	0	768	96	128	32
-	14	SI_TopContent_Music	0	896	96	128	32
-	15	SI_TopContent_Option	0	896	32	128	32
-	16	SI_Option_KeySet	0	0	32	128	32
-	17	SI_Option_GraphMode	0	128	32	128	32
-	18	SI_Option_BGMVol	0	384	32	128	32
-	19	SI_Option_SEVol	0	512	32	128	32
-	20	SI_Option_Reset	0	640	32	128	32
-	21	SI_Option_Quit	0	768	32	128	32
-	22	SI_OptionKey_Shoot	0	384	64	128	32
-	23	SI_OptionKey_Special	0	512	64	128	32
-	24	SI_OptionKey_Slow	0	660	64	88	32
-	25	SI_OptionKey_Change	0	768	64	128	32
-	26	SI_OptionKey_Pause	0	896	64	128	32
-	27	SI_OptionKey_OK	0	256	32	128	32
-	28	SI_OptionGraph_Window	0	896	128	128	32
-	29	SI_OptionGraph_Full	0	896	160	128	32
-	30	SI_DigitBig_0	0	0	64	32	32
-	31	SI_DigitBig_1	0	32	64	32	32
-	32	SI_DigitBig_2	0	64	64	32	32
-	33	SI_DigitBig_3	0	96	64	32	32
-	34	SI_DigitBig_4	0	128	64	32	32
-	35	SI_DigitBig_5	0	160	64	32	32
-	36	SI_DigitBig_6	0	192	64	32	32
-	37	SI_DigitBig_7	0	224	64	32	32
-	38	SI_DigitBig_8	0	256	64	32	32
-	39	SI_DigitBig_9	0	288	64	32	32
-	40	SI_DigitBig_%	0	320	65	32	28
-	41	SI_DigitBig_.	0	352	64	32	32
-	42	SI_Confirm_Yes	0	384	256	32	32
-	43	SI_Confirm_No	0	416	256	32	32
-	44	SI_Confirm_Cancel	0	448	256	64	32
-	45	SI_Confirm	0	384	288	128	32
-	46	SI_Pause_Pause	0	256	256	128	32
-	47	SI_Pause_Start	0	256	288	128	32
-	48	SI_Pause_Return	0	256	320	128	32
-	49	SI_Pause_Reset	0	256	352	128	32
-	50	SI_Pause_Continue	0	384	320	128	32
-	51	SI_Pause_Credit	0	384	352	128	32
-	52	SI_Result_Save	0	512	256	256	32
-	53	SI_Result_OverWrite	0	512	288	256	32
-	54	SI_Result_CannotSave	0	512	320	256	32
-	55	SI_Result_Result	0	512	352	128	32
-	56	SI_Result_Score	0	640	352	128	32
-	57	SI_Result_Faith	0	768	256	128	32
-	58	SI_Result_Continue	0	896	256	128	32
-	59	SI_Result_Miss	0	768	288	128	32
-	60	SI_Result_Slowdown	0	896	288	128	32
-	61	SI_Result_SpellUsed	0	768	320	256	32
